Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Steel,Powder coated,37.2,1.495,Clipsprofil,0.108,low,33067,2.7,micro,2,4.15,2025-09-02
Nickel,Plasma sprayed,17.1,1.468,Rörprofil,0.122,high,36195,2.75,small,4,4.09,2025-12-04
Brass,Blackening,37.4,0.96,Pärlspont,0.071,high,90326,3.21,large,6,3.14,2025-04-18
Titanium,Anodized,23.9,1.11,Hörnvinkel,0.062,medium,150442,3.76,medium,7,2.07,2025-07-31
Steel,Anodized,18.1,1.164,Korsprofil,0.174,low,75268,3.98,large,2,3.4,2025-06-05
Tin,Polished,27.0,1.57,Ändprofil,0.197,high,72397,3.61,medium,10,3.45,2025-01-26
Copper,Plasma sprayed,21.7,1.091,Spröjsprofil,0.111,high,47632,2.72,large,4,3.89,2025-03-23
Steel,Polished,22.3,1.029,H-profil,0.063,low,46921,3.62,medium,11,3.9,2025-03-24
Brass,Plasma sprayed,22.8,1.709,Ramlist,0.06,medium,109170,3.56,micro,4,2.8,2025-05-11
Titanium,Hot-dip galvanized,34.3,0.845,Vinkellist,0.184,low,50474,3.83,medium,12,3.84,2025-11-25
Nickel,Powder coated,28.2,1.746,Pärlspont,0.12,medium,156657,3.86,medium,3,1.96,2025-04-10
Brass,Hot-dip galvanized,22.9,1.454,Täckprofil,0.098,low,131489,3.93,large,9,2.41,2025-09-13
Brass,Phosphated,29.9,1.592,Vinkellist,0.121,low,72802,3.21,large,4,3.45,2025-02-18
Copper,Brushed,32.3,1.106,Glasningslist,0.098,low,68974,3.66,large,7,3.51,2025-03-04
Zinc,Electroplated,22.0,0.85,Sidoprofil,0.123,low,69560,2.98,small,3,3.5,2025-11-07
Titanium,Plasma sprayed,25.3,1.509,Glasningslist,0.179,medium,74798,4.14,small,8,3.41,2025-10-17
Aluminium,Phosphated,18.5,1.597,Clipsprofil,0.139,medium,99909,2.83,medium,5,2.97,2025-04-15
Brass,Brushed,19.9,1.512,Isolerprofil,0.154,high,81764,2.57,medium,10,3.29,2025-04-15
Zinc,Blackening,31.5,0.967,Glasningslist,0.105,low,104105,2.79,micro,11,2.89,2025-11-21
Aluminium,Chrome plated,19.9,1.523,Tätningslist,0.161,medium,97219,3.78,micro,10,3.01,2025-01-15
Titanium,Powder coated,27.9,1.538,Foglist,0.15,medium,160864,3.26,medium,8,1.89,2025-06-24
Iron,Polished,32.1,1.437,Sidoprofil,0.068,medium,86769,3.26,small,9,3.2,2025-09-16
Tin,Polished,18.2,1.535,Hakprofilslist,0.136,low,49494,4.07,medium,4,3.86,2025-07-30
Zinc,Hot-dip galvanized,28.9,1.608,L-profil,0.089,high,59111,4.01,micro,12,3.69,2025-09-16
Lead,Anodized,21.7,1.396,Spröjsprofil,0.171,medium,104677,3.04,small,6,2.88,2025-04-12
Iron,Brushed,38.0,0.918,Skenprofil,0.114,low,158037,2.88,small,3,1.94,2025-09-17
Tin,Chrome plated,26.9,1.281,Z-profil,0.199,medium,76023,3.9,micro,11,3.39,2025-12-10
Copper,Phosphated,34.4,0.908,Glaskil,0.064,medium,132636,3.99,medium,8,2.39,2025-06-08
Steel,Powder coated,28.5,1.208,Fönsterbleck,0.167,high,107535,3.41,large,9,2.83,2025-02-14
Nickel,Brushed,16.7,1.208,Mittpost,0.151,medium,143341,3.55,medium,10,2.2,2025-10-28
Lead,Chrome plated,30.4,0.897,H-profil,0.165,medium,108598,2.96,medium,12,2.81,2025-09-08
Copper,Electroplated,37.7,1.155,Fönsterbleck,0.096,low,91538,3.82,micro,12,3.12,2025-11-27
Titanium,Plasma sprayed,29.6,0.938,Vinkellist,0.124,low,160653,3.56,small,8,1.89,2025-06-14
Copper,Polished,34.7,1.573,T-profil,0.169,high,137733,3.35,micro,11,2.3,2025-07-12
Steel,Phosphated,36.2,1.7,Karmprofil,0.085,low,149693,2.65,medium,11,2.09,2025-01-09
Titanium,Polished,21.0,0.903,Kantprofil,0.084,low,139392,4.01,large,9,2.27,2025-03-06
Lead,Phosphated,20.6,1.707,J-profil,0.133,high,34447,3.53,large,10,4.13,2025-10-09
Steel,Hot-dip galvanized,29.9,1.313,Avvattningsprofil,0.129,medium,131219,2.86,large,7,2.41,2025-06-30
Aluminium,Anodized,25.2,1.11,Korsprofil,0.092,high,131551,3.51,micro,11,2.41,2025-10-09
Nickel,Phosphated,35.2,0.907,Ändprofil,0.095,low,70745,3.63,small,3,3.48,2025-10-06
Lead,Polished,36.6,1.293,Isolerprofil,0.092,high,86103,3.39,micro,3,3.21,2025-01-30
